date,code,open,high,low,close
2001-08-27,sh.600519,34.5100,37.7800,32.8500,35.5500
2001-08-28,sh.600519,34.9900,37.0000,34.6100,36.8600
2001-08-29,sh.600519,36.9800,37.0000,36.1000,36.3800
2001-08-30,sh.600519,36.2800,37.5100,36.0000,37.1000
2001-08-31,sh.600519,37.1500,37.6200,36.8000,37.0100
2001-09-03,sh.600519,37.2000,37.5700,36.8500,36.9900
2001-09-04,sh.600519,37.0100,38.0800,36.8800,37.4600
2001-09-05,sh.600519,37.6100,37.9200,37.2100,37.4400
2001-09-06,sh.600519,37.3500,37.4700,36.5100,36.7000
2001-09-07,sh.600519,36.5000,36.9500,35.6500,35.6800
2001-09-10,sh.600519,35.4000,36.8500,35.0100,36.7000
2001-09-11,sh.600519,36.8000,36.9500,36.2000,36.2900
2001-09-12,sh.600519,35.3300,36.2000,35.3000,35.9800
2001-09-13,sh.600519,36.0100,36.3000,35.7000,35.8900
2001-09-14,sh.600519,36.0100,36.5000,35.8000,36.3000
2001-09-17,sh.600519,36.0800,36.2900,35.5000,35.8400
2001-09-18,sh.600519,35.8800,36.5500,35.8500,36.2500
2001-09-19,sh.600519,36.3000,36.9200,36.0600,36.9200
2001-09-20,sh.600519,36.9000,37.0500,36.5000,36.6100
2001-09-21,sh.600519,36.2800,36.6000,36.0000,36.0600
2001-09-24,sh.600519,36.0600,36.3900,36.0000,36.0500
2001-09-25,sh.600519,36.2800,36.5400,36.0500,36.2300
2001-09-26,sh.600519,36.1100,36.4800,36.0000,36.0800
2001-09-27,sh.600519,36.0800,36.9800,36.0000,36.7000
2001-09-28,sh.600519,36.9000,37.2000,36.5000,37.0900
2001-10-08,sh.600519,37.0000,37.1800,36.2500,36.5800
2001-10-09,sh.600519,36.6000,37.5000,36.6000,37.3000
2001-10-10,sh.600519,37.3000,37.4300,36.0300,36.1000
2001-10-11,sh.600519,36.0100,36.5000,35.6500,35.7500
2001-10-12,sh.600519,35.9000,36.6500,34.0500,36.0000
2001-10-15,sh.600519,35.9000,36.0000,34.9000,35.3000
2001-10-16,sh.600519,35.1300,35.8000,34.7500,34.8000
2001-10-17,sh.600519,34.7900,34.8100,33.9000,34.2000
2001-10-18,sh.600519,34.2000,34.6600,33.9100,34.0400
2001-10-19,sh.600519,34.0000,34.1500,33.0100,33.5000
2001-10-22,sh.600519,33.3000,33.7000,32.7000,32.7900
2001-10-23,sh.600519,36.0000,36.0700,35.0100,36.0700
2001-10-24,sh.600519,36.7800,36.8000,35.1100,35.8600
2001-10-25,sh.600519,35.7000,35.8000,34.8600,34.8800
2001-10-26,sh.600519,34.7000,35.1000,34.4200,35.0000
2001-10-29,sh.600519,34.8800,35.6300,34.8800,35.3000
2001-10-30,sh.600519,35.2500,35.4900,34.9200,35.0000
2001-10-31,sh.600519,35.0000,35.0900,34.8000,35.0500
2001-11-01,sh.600519,35.0500,35.6400,34.9500,35.5700
2001-11-02,sh.600519,35.2800,35.7200,35.1600,35.3600
2001-11-05,sh.600519,35.0000,35.2600,34.7000,34.9000
2001-11-06,sh.600519,34.8000,35.3000,34.7200,35.1500
2001-11-07,sh.600519,35.0000,35.0000,33.8000,33.8500
2001-11-08,sh.600519,33.3500,33.8900,32.9800,33.7000
2001-11-09,sh.600519,33.7000,34.4800,33.3400,34.1500
2001-11-12,sh.600519,34.4000,34.4000,33.5200,33.6000
2001-11-13,sh.600519,33.2800,33.7000,33.2100,33.6400
2001-11-14,sh.600519,33.6400,34.0000,33.6400,33.6500
2001-11-15,sh.600519,33.6500,33.8000,33.5000,33.6800
2001-11-16,sh.600519,36.2000,36.2000,33.9900,34.0900
2001-11-19,sh.600519,34.1500,35.0800,34.1000,35.0500
2001-11-20,sh.600519,35.2000,35.5300,34.9000,35.3800
2001-11-21,sh.600519,35.4800,35.5000,34.9000,35.1800
2001-11-22,sh.600519,35.2200,35.3000,34.9100,35.1200
2001-11-23,sh.600519,35.0100,35.2500,34.7800,34.9800
2001-11-26,sh.600519,35.0000,35.0000,34.5000,34.6100
2001-11-27,sh.600519,34.5800,35.0700,34.5800,35.0000
2001-11-28,sh.600519,35.0500,35.3900,34.9000,35.0500
2001-11-29,sh.600519,35.0100,35.2000,34.8100,34.8300
2001-11-30,sh.600519,34.8300,35.4500,34.8000,35.3400
2001-12-03,sh.600519,35.3500,36.2700,35.3400,36.1700
2001-12-04,sh.600519,36.2500,36.2700,35.8100,36.2100
2001-12-05,sh.600519,37.0000,37.0000,35.9600,36.0000
2001-12-06,sh.600519,35.9000,36.3000,35.8000,36.0600
2001-12-07,sh.600519,36.1000,36.2000,35.8000,35.8600
2001-12-10,sh.600519,36.0000,36.0800,35.7100,35.9900
2001-12-11,sh.600519,36.0000,36.0000,35.6100,35.6400
2001-12-12,sh.600519,35.6000,36.1000,35.6000,35.7700
2001-12-13,sh.600519,35.6100,35.9700,35.2000,35.2600
2001-12-14,sh.600519,35.0200,35.5000,35.0200,35.2000
2001-12-17,sh.600519,35.1100,35.6100,35.0500,35.3600
2001-12-18,sh.600519,35.4800,35.9600,35.1000,35.9000
2001-12-19,sh.600519,35.9000,36.4900,35.6300,35.9600
2001-12-20,sh.600519,35.9000,35.9000,34.6500,34.7600
2001-12-21,sh.600519,34.7000,35.9700,34.7000,35.8700
2001-12-24,sh.600519,35.9900,37.2500,35.8100,36.4200
2001-12-25,sh.600519,36.4500,36.7200,35.9500,36.5000
2001-12-26,sh.600519,36.5400,37.2500,36.1000,37.1900
2001-12-27,sh.600519,37.2200,37.8400,36.9200,37.3200
2001-12-28,sh.600519,37.3000,37.6000,36.8800,37.3000
2001-12-31,sh.600519,37.6700,39.3000,37.4600,38.5500
2002-01-04,sh.600519,38.7200,38.8000,37.4500,37.5500
2002-01-07,sh.600519,37.1500,37.5000,36.6800,37.3500
2002-01-08,sh.600519,37.0000,37.5900,36.4800,36.5900
2002-01-09,sh.600519,36.5000,37.1800,36.3500,36.8700
2002-01-10,sh.600519,36.9800,37.3900,36.3500,37.2400
2002-01-11,sh.600519,37.0100,37.1400,36.0000,36.0500
2002-01-14,sh.600519,35.7000,36.4000,35.4300,36.1000
2002-01-15,sh.600519,35.9800,37.0500,35.9100,36.5400
2002-01-16,sh.600519,36.4800,36.9700,35.4000,36.3500
2002-01-17,sh.600519,36.2000,36.4900,34.7000,35.0600
2002-01-18,sh.600519,34.8000,36.8800,34.7000,36.6500
2002-01-21,sh.600519,36.3000,36.6000,35.5800,35.8700
2002-01-22,sh.600519,35.8000,36.9500,35.8000,36.4400
2002-01-23,sh.600519,36.6500,37.6500,36.2000,37.6200
2002-01-24,sh.600519,37.3600,37.8700,36.8000,37.2900
2002-01-25,sh.600519,37.2400,37.5700,36.8000,37.1000
2002-01-28,sh.600519,37.0000,37.2900,35.3000,35.4900
2002-01-29,sh.600519,35.2000,36.2000,34.9800,35.6600
2002-01-30,sh.600519,35.6000,36.2800,35.2000,35.5800
2002-01-31,sh.600519,36.0000,38.0000,36.0000,37.6000
2002-02-01,sh.600519,37.5000,37.9800,36.9000,37.0600
2002-02-04,sh.600519,37.1800,38.1500,37.0000,37.9200
2002-02-05,sh.600519,37.9300,38.6800,37.6300,37.9000
2002-02-06,sh.600519,37.8600,38.1100,37.0900,37.1800
2002-02-07,sh.600519,37.1800,37.9200,37.1200,37.4100
2002-02-08,sh.600519,37.6000,38.2000,37.5800,37.6500
2002-02-25,sh.600519,37.6500,37.6500,37.6500,37.6500
2002-02-26,sh.600519,37.9900,38.5000,37.4500,37.7700
2002-02-27,sh.600519,37.8500,38.1000,37.5000,37.9300
2002-02-28,sh.600519,38.0000,38.4600,37.7800,38.0000
2002-03-01,sh.600519,37.9500,38.1500,37.2000,37.3900
2002-03-04,sh.600519,37.3500,38.0800,37.1200,38.0400
2002-03-05,sh.600519,38.0600,39.1000,37.8600,38.5900
2002-03-06,sh.600519,38.8000,39.0800,38.0200,38.3600
2002-03-07,sh.600519,38.2000,38.6000,38.0500,38.5000
2002-03-08,sh.600519,38.5500,39.7800,38.5500,39.6300
2002-03-11,sh.600519,39.6900,39.6900,39.0700,39.4500
2002-03-12,sh.600519,39.4500,39.4500,38.5000,38.5000
2002-03-13,sh.600519,38.3100,38.8000,38.1900,38.2400
2002-03-14,sh.600519,38.1100,38.7000,38.0500,38.6200
2002-03-15,sh.600519,38.0200,38.9000,37.8500,37.9200
2002-03-18,sh.600519,38.1200,38.8000,37.9000,38.0000
2002-03-19,sh.600519,38.1000,38.8800,38.0200,38.7500
2002-03-20,sh.600519,38.8000,39.5000,38.7000,38.9700
2002-03-21,sh.600519,39.3000,39.5600,38.6600,38.9200
2002-03-22,sh.600519,38.9200,39.0000,38.4200,38.5400
2002-03-25,sh.600519,38.4900,38.9000,38.3000,38.7800
2002-03-26,sh.600519,38.7000,38.8000,38.1200,38.2000
2002-03-27,sh.600519,38.1500,38.4600,37.9100,38.1000
2002-03-28,sh.600519,38.0100,38.2800,38.0000,38.0100
2002-03-29,sh.600519,38.0000,38.0500,37.1000,37.2600
2002-04-01,sh.600519,37.1600,37.7900,37.1200,37.6000
2002-04-02,sh.600519,37.6100,37.7600,36.8100,37.0200
2002-04-03,sh.600519,37.0200,37.3000,36.8200,36.9800
2002-04-04,sh.600519,36.9700,37.6000,36.5100,37.5800
2002-04-05,sh.600519,37.7800,37.9400,37.1000,37.2800
2002-04-08,sh.600519,37.3000,37.4000,36.9500,37.0000
2002-04-09,sh.600519,37.0000,37.5000,36.8800,37.4300
2002-04-10,sh.600519,37.4300,37.7700,37.2000,37.4800
2002-04-11,sh.600519,37.4900,37.8800,37.4100,37.4900
2002-04-12,sh.600519,37.6200,38.2200,37.5200,38.0000
2002-04-15,sh.600519,38.4600,38.5000,37.6000,37.8900
2002-04-16,sh.600519,37.8800,38.3000,37.8800,38.2600
2002-04-17,sh.600519,38.5000,38.5000,36.8500,36.9800
2002-04-18,sh.600519,37.0000,37.1900,36.3800,36.3900
2002-04-19,sh.600519,36.3900,36.4500,35.8900,36.2200
